gene,pi_tissue_slope_rho,pi_tissue_slope_p,pi_tissue_young
CDCA8,1.0,0.0,0.68577695
MANEAL,-0.39999999999999997,0.6,0.74793357
YRDC,0.39999999999999997,0.6,0.74217063
C1orf122,0.0,1.0,0.63677967
MTF1,-1.0,0.0,0.43086886
INPP5B,-1.0,0.0,0.8722034
SF3A3,-0.39999999999999997,0.6,0.6128732
FHL3,-0.39999999999999997,0.6,0.911646
UTP11,-0.39999999999999997,0.6,0.91557556
RRAGC,-0.6000000000000001,0.3999999999999999,0.7704022
RP5-864K19.4,-1.0,0.0,0.67819226
MYCBP,0.39999999999999997,0.6,0.40949714
RHBDL2,0.19999999999999998,0.8,0.9480208
AKIRIN1,-0.7999999999999999,0.20000000000000007,0.54214376
NDUFS5,-0.7999999999999999,0.20000000000000007,0.8784929
MACF1,-0.7999999999999999,0.20000000000000007,0.86150706
BMP8A,-1.0,0.0,0.8789397
RP11-69E11.4,-0.7999999999999999,0.20000000000000007,0.78723973
