condition,pi_tissue_median,pi_tissue_mean,pi_tissue_q25,pi_tissue_q75,n_genes,n_gsms
young,0.8930044670520698,0.8422503650892157,0.7827993877977076,0.9521797035449828,20892,18
old_AL,0.8416029782842084,0.7962893621904062,0.6962926448638719,0.9331046463425563,20884,18
old_CR,0.8861151831841354,0.8289389474860009,0.7517729183204707,0.9522750400502181,20902,18
