"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",9,3699652.83730958,0.858173008359567,1054.19149654241,0.001
"Residual",1568,611427.564043999,0.141826991640431,NA,NA
"Total",1577,4311080.40135359,1,NA,NA
