metric,median,ci_2.5,ci_97.5,n_boot
CR_rescue_pct,87.00479177511747,82.38252674197709,91.33785826259201,1000
V_residual_CR_effect,-6.088677991896596e-05,-7.104593731442114e-05,-5.161288665757692e-05,1000
V_tissue_CR_effect,-5.5949893952868994e-05,-0.00010444774263241471,-8.8938889648921e-06,1000
