age_group,age_midpoint,pi_mean,pi_std,pi_median,n_iterations
Juvenile,3.0,0.7101632118883581,0.04319565358642239,0.7051221352017274,100
Young_adult,7.5,0.6878697455099655,0.03410811139385857,0.6749459470290833,100
Middle_aged,14.0,0.8061512403498007,2.220446049250313e-16,0.8061512403498005,100
Elderly,25.0,0.7029257369510086,0.03137615525936072,0.6953556943182285,100
