cell_type,age_group,pi_tissue,pi_std,n_tissues,total_samples
macrophage,young,0.648170932533054,2.220446049250313e-16,5,18
macrophage,old,0.5597767893962124,0.024311260627508362,5,18
endothelial cell,young,0.49265650094029373,0.0,3,9
endothelial cell,old,0.3822066814398346,0.01577971416723279,3,9
B cell,young,0.3422125961911177,1.1102230246251565e-16,4,13
B cell,old,0.30452706542160013,0.024596370486049568,4,13
T cell,young,0.3835996850071928,1.1102230246251565e-16,3,9
T cell,old,0.3311248096182738,0.022250495100166284,3,9
