pi_young,pi_old_AL,pi_old_CR,rescue_pct,V_tissue_CR_effect,V_residual_CR_effect
0.8922697996537925,0.8390535250692419,0.885022714284335,86.3818250600326,-5.7108767148232034e-05,-6.46606929154838e-05
0.8934439000082532,0.8421258392852927,0.887569808026025,88.55355814410179,-3.9408318813059394e-05,-6.511923900787131e-05
0.8949604306245282,0.8412079609151635,0.8873693887534956,85.87778029162789,-5.098828205783203e-05,-7.677966719675316e-05
0.8927840782179592,0.8424246439171651,0.8865569351331567,87.63460477413595,-2.3785492249166033e-05,-6.340903303277443e-05
0.8918883579492289,0.8403036896467526,0.8850188798365219,86.68310112526744,-4.4814403589432065e-05,-5.753665828376928e-05
0.891562120037727,0.839406445039176,0.8848611106839952,87.15190752699887,-8.30144164984854e-05,-5.11580909833459e-05
0.8921373906221887,0.8433458911372496,0.8858878470896266,87.19132718089323,-7.55533326307976e-05,-7.109276084266928e-05
0.8937067273566813,0.842181114395013,0.8839715891422163,81.10621561803188,-4.842355802828929e-05,-5.162011476436885e-05
0.891965635110759,0.841376634651408,0.8865686229103116,89.33164887338702,-8.666126126341111e-05,-6.476000831376878e-05
0.8917295744621504,0.8426745703753087,0.8861259860644026,88.57692807888104,-3.475047859131659e-05,-5.506331444356336e-05
0.8927038975434468,0.8433755444906982,0.8842585552207599,82.87933450027009,-5.3688337101636405e-05,-5.6300900372896573e-05
0.8921485112031,0.8406865006124118,0.8850767195918267,86.25822907013865,-6.880918487498682e-05,-5.548208762647984e-05
0.8927269472291846,0.8404643163876306,0.8866140757374423,88.30355190064047,-7.692345662647622e-05,-6.935413674957121e-05
0.8943390397773006,0.8451066650541645,0.8898714755978213,90.92555619223506,-7.224516078827557e-05,-6.36732285158517e-05
0.8927818762043496,0.8397884713743302,0.8862156652064118,87.60938079181852,-3.6578965927285424e-05,-6.456012306757693e-05
0.8920527111073315,0.8412788615830187,0.8842047998624984,84.54339917426363,-7.460851569922322e-05,-5.383724948341585e-05
0.8912723915248884,0.8384317505989175,0.8836339162134992,85.54431744669678,-6.057745373336514e-05,-6.104441320478336e-05
0.8927840782179592,0.8402566255490618,0.8861192600343288,87.31174301247474,-1.2961781714898677e-05,-5.407432106709011e-05
0.8934159192275399,0.8438129175738218,0.8872220725428513,87.51316154629463,-8.582260564956343e-05,-7.39632690453218e-05
0.8944424375323131,0.8440886058038417,0.8870927796248904,85.40397492080626,-6.32497282876288e-05,-6.368409156645567e-05
0.8919210000632194,0.8417996953934885,0.8855754058746593,87.33952711252489,-0.00010807412296890361,-6.307677210182853e-05
0.893342485060968,0.8384104336578745,0.8862127559900767,87.02082138063051,-6.449297946384573e-05,-5.869347719693918e-05
0.8921060034436396,0.8397482280166005,0.8844372239469331,85.35312198778782,-4.250983217494271e-05,-5.2435460978799846e-05
0.8942579237725475,0.8419014903632124,0.8863930734450249,84.9782542175222,-1.1269445251538713e-05,-6.163506125061519e-05
0.8910877308229983,0.8402646117064997,0.8840686508553253,86.18919875503185,-8.281460459671759e-05,-6.119475268090335e-05
0.8932582532916125,0.8414893062101945,0.8857364819805427,85.47049585683062,-5.9422781203680684e-05,-6.697677859183028e-05
0.8932329678702683,0.8416021642167637,0.8881440750244697,90.14368848497831,-7.934471272720957e-06,-6.616601368535362e-05
0.8939993129328784,0.8404359590804449,0.8871313846670847,87.1779345917832,-5.6748999198427035e-05,-6.471803721564082e-05
0.8939737100444942,0.8418386327296212,0.886729366939721,86.10466603699362,-4.861708247627986e-05,-5.916768168617173e-05
0.8928446531780783,0.8415928164103379,0.884644163336196,83.99961765459315,-5.610204599738205e-05,-5.66466696262037e-05
0.8941150155936319,0.8429866705195722,0.8852139278386538,82.59069848225123,-8.928827960892984e-05,-7.019717415180469e-05
0.8946254803370025,0.8435194225526604,0.8878312155834451,86.7055588943528,-0.00010017714280718113,-5.602722808432432e-05
0.8919767522139191,0.8396595054806055,0.8847894272695815,86.2620351927637,-1.9853426723095676e-05,-5.757738580813854e-05
0.8926456616447647,0.8382149996683707,0.8846117972760181,85.24018617993157,-7.594848665544137e-05,-7.529000367264145e-05
0.8939460334830205,0.8450929741336248,0.8876625488882033,87.13799160482888,-6.439354196413854e-05,-6.305554489840313e-05
0.8938546523105397,0.8433044121596974,0.8878372330560923,88.09616089559337,-5.591117164516321e-05,-6.447628757882075e-05
0.8930007688253104,0.8410408318701588,0.8849148557352426,84.43817763472845,-5.3921621647456345e-05,-5.7340607120045796e-05
0.8911878337314909,0.8389307133362767,0.8842630064077045,86.74854781240377,-1.767882871354324e-05,-5.083104160464616e-05
0.8932180359299065,0.8452270625127629,0.8875271019188603,88.14165747050005,-4.63863877021662e-05,-5.875587626636813e-05
0.8924769199325624,0.8400726918009741,0.8847317983365677,85.2204261523583,-9.236591742917393e-05,-5.5370181170295786e-05
0.8929663936259998,0.8417991873565165,0.8852535921642776,84.92627988891734,-6.428092674248039e-05,-5.032123728879978e-05
0.8938187128417365,0.843164157983068,0.8875515703309331,87.62768219306363,-3.829722177962403e-05,-6.416450464798173e-05
0.8940242074793646,0.8407544412230822,0.886537495964745,85.94566479116715,-5.133904983905743e-05,-5.379328612799359e-05
0.8922561313162459,0.8400726918009741,0.8848932165870047,85.89032306487499,-4.839653104016066e-05,-6.213530774200747e-05
0.8933497548365712,0.8420449800436501,0.8855754058746593,84.84673406463415,-8.179940833063755e-05,-6.360664423967627e-05
0.8909257795590161,0.8407009630365136,0.8862044467342527,90.59960164782667,-8.958345510437287e-05,-5.888289784232784e-05
0.8927869235398547,0.8395214592296308,0.8852535921642776,85.85700608615338,-6.958044542589633e-05,-5.7385974565227205e-05
0.8925661943948384,0.8415715007329666,0.8854342750282794,86.01438923459706,-2.6940468841284192e-05,-6.004339727799465e-05
0.8939067103428212,0.8390428623654075,0.8864687032882146,86.44279005426544,-1.227097318715932e-05,-5.2729316607044024e-05
0.8946018740941144,0.8441226172662059,0.8891790383143839,89.25729869950794,-4.956514142353207e-05,-6.634566612749622e-05
0.8930917213273177,0.8418002034304607,0.8854444558250938,85.09058453368068,-3.225442211818308e-05,-5.296688415559834e-05
0.892871213818235,0.8423347259666806,0.8858287267330941,86.06454982422316,-8.207183424010622e-05,-5.8087558966310996e-05
0.8945613272708159,0.8430556586925735,0.8881418562773242,87.53637964384468,-8.21491495406701e-05,-5.920578168372263e-05
0.8918800404861886,0.8404260606984276,0.8863605662551945,89.27298869055225,-2.3432151498695413e-05,-5.7296007532060535e-05
