cutoff,dpi_dt_per_yr,R2,p,n_points,pi_first,pi_last
all,-0.010011798985558805,0.024057475607970405,0.668753767272827,10,0.4396786323856732,0.4881075934594294
≥3m,-0.033573373014145404,0.2641475206569112,0.1569459200205565,9,0.6073419371060917,0.4881075934594294
≥6m,-0.00716399365018759,0.023199550458398818,0.7187975536202758,8,0.5272185558116123,0.4881075934594294
≥12m,-0.010355117607927004,0.026674181677710757,0.7571947579386678,6,0.4910131672970166,0.4881075934594294
