age_group,age_midpoint,pi_mean,pi_std,ci_lo,ci_hi
Juvenile,3.0,0.8784961670497574,0.005434998958628831,0.8721741776641583,0.8867235219882694
Young_adult,7.5,0.8598161983944886,0.008226909610518501,0.849587573369442,0.8687448763717442
Elderly,25.0,0.7529221505743477,0.0,0.7529221505743477,0.7529221505743477
