"","Samplename","id","age","type","stage","tissues","RIN","batch"
"X16086_Kidney","X16086_Kidney","X16086",3,"Juvenile",1,"Kidney","7.6","batch2"
"X16086_Adrenal_gland","X16086_Adrenal_gland","X16086",3,"Juvenile",1,"Adrenal_gland","8.5","batch2"
"X16086_Duodenum","X16086_Duodenum","X16086",3,"Juvenile",1,"Duodenum","7.4","batch2"
"X16086_Fallopian_tube","X16086_Fallopian_tube","X16086",3,"Juvenile",1,"Fallopian_tube","8.8","batch2"
"X16086_Stomach","X16086_Stomach","X16086",3,"Juvenile",1,"Stomach","7.1","batch2"
"X16086_Inferior_vena_cava","X16086_Inferior_vena_cava","X16086",3,"Juvenile",1,"Inferior_vena_cava","7.9","batch2"
"X16086_Heart","X16086_Heart","X16086",3,"Juvenile",1,"Heart","7.5","batch2"
"X16086_Thymus","X16086_Thymus","X16086",3,"Juvenile",1,"Thymus","7.7","batch2"
"X16086_Facial_skin","X16086_Facial_skin","X16086",3,"Juvenile",1,"Facial_skin","7.7","batch2"
"X16086_Pancreas","X16086_Pancreas","X16086",3,"Juvenile",1,"Pancreas","6.8","batch2"
"X16086_Aortic_arch","X16086_Aortic_arch","X16086",3,"Juvenile",1,"Aortic_arch","7.9","batch2"
"X16086_Uterus","X16086_Uterus","X16086",3,"Juvenile",1,"Uterus","6.6","batch2"
"X16364_Supramarginal_gyrus","X16364_Supramarginal_gyrus","X16364",3,"Juvenile",1,"Supramarginal_gyrus","6.6","batch2"
"X16364_Superior_temporal_gyrus","X16364_Superior_temporal_gyrus","X16364",3,"Juvenile",1,"Superior_temporal_gyrus","6","batch2"
"X16364_Hypothalamus","X16364_Hypothalamus","X16364",3,"Juvenile",1,"Hypothalamus","7.5","batch2"
"X16364_Pituitary","X16364_Pituitary","X16364",3,"Juvenile",1,"Pituitary","8.1","batch2"
"X16364_Frontal_pole","X16364_Frontal_pole","X16364",3,"Juvenile",1,"Frontal_pole","6.7","batch2"
"X16364_Skin_of_back","X16364_Skin_of_back","X16364",3,"Juvenile",1,"Skin_of_back","8.2","batch2"
"X16364_Lung","X16364_Lung","X16364",3,"Juvenile",1,"Lung","7.5","batch2"
"X16364_Abdominal_aorta","X16364_Abdominal_aorta","X16364",3,"Juvenile",1,"Abdominal_aorta","8","batch2"
"X16364_Liver","X16364_Liver","X16364",3,"Juvenile",1,"Liver","7.7","batch2"
"X16364_Arteria_cruralis","X16364_Arteria_cruralis","X16364",3,"Juvenile",1,"Arteria_cruralis","7.6","batch2"
