"","Samplename","id","age","type","stage","tissues","RIN","batch"
"X12092_Abdominal_aorta","X12092_Abdominal_aorta","X12092",7,"Young_adult",2,"Abdominal_aorta","7.5","batch2"
"X12092_Liver","X12092_Liver","X12092",7,"Young_adult",2,"Liver","8","batch2"
"X12092_Arteria_cruralis","X12092_Arteria_cruralis","X12092",7,"Young_adult",2,"Arteria_cruralis","7.8","batch2"
"X12092_Femoral_vein","X12092_Femoral_vein","X12092",7,"Young_adult",2,"Femoral_vein","7.9","batch2"
"X12092_Ileocecum","X12092_Ileocecum","X12092",7,"Young_adult",2,"Ileocecum","6.1","batch2"
"X12092_Thyroid_gland","X12092_Thyroid_gland","X12092",7,"Young_adult",2,"Thyroid_gland","8","batch2"
"X12092_Arteria_carotis","X12092_Arteria_carotis","X12092",7,"Young_adult",2,"Arteria_carotis","8.2","batch2"
"X12092_Muscle","X12092_Muscle","X12092",7,"Young_adult",2,"Muscle","8.3","batch2"
"X12092_Ovary","X12092_Ovary","X12092",7,"Young_adult",2,"Ovary","7.6","batch2"
"X12092_Cecum","X12092_Cecum","X12092",7,"Young_adult",2,"Cecum","6.4","batch2"
"X12092_Spleen","X12092_Spleen","X12092",7,"Young_adult",2,"Spleen","8","batch2"
"X12092_Kidney","X12092_Kidney","X12092",7,"Young_adult",2,"Kidney","8.1","batch2"
"X12092_Adrenal_gland","X12092_Adrenal_gland","X12092",7,"Young_adult",2,"Adrenal_gland","8.3","batch2"
"X12092_Duodenum","X12092_Duodenum","X12092",7,"Young_adult",2,"Duodenum","7.1","batch2"
"X12092_Fallopian_tube","X12092_Fallopian_tube","X12092",7,"Young_adult",2,"Fallopian_tube","8.5","batch2"
"X12092_Stomach","X12092_Stomach","X12092",7,"Young_adult",2,"Stomach","7.6","batch2"
"X12092_Heart","X12092_Heart","X12092",7,"Young_adult",2,"Heart","7.8","batch2"
"X12092_Thymus","X12092_Thymus","X12092",7,"Young_adult",2,"Thymus","8.8","batch2"
"X12092_Facial_skin","X12092_Facial_skin","X12092",7,"Young_adult",2,"Facial_skin","7.6","batch2"
"X12092_Pancreas","X12092_Pancreas","X12092",7,"Young_adult",2,"Pancreas","7.1","batch2"
"X12092_Adipose","X12092_Adipose","X12092",7,"Young_adult",2,"Adipose","7.8","batch2"
"X12092_Aortic_arch","X12092_Aortic_arch","X12092",7,"Young_adult",2,"Aortic_arch","8","batch2"
"X12092_Uterus","X12092_Uterus","X12092",7,"Young_adult",2,"Uterus","7.5","batch2"
"X12304_Supramarginal_gyrus","X12304_Supramarginal_gyrus","X12304",7,"Young_adult",2,"Supramarginal_gyrus","7.7","batch2"
"X12304_Superior_temporal_gyrus","X12304_Superior_temporal_gyrus","X12304",7,"Young_adult",2,"Superior_temporal_gyrus","7.5","batch2"
"X12304_Hippocampus","X12304_Hippocampus","X12304",7,"Young_adult",2,"Hippocampus","7.7","batch2"
"X12304_Hypothalamus","X12304_Hypothalamus","X12304",7,"Young_adult",2,"Hypothalamus","6.7","batch2"
"X12304_Pituitary","X12304_Pituitary","X12304",7,"Young_adult",2,"Pituitary","8.5","batch2"
"X12304_Frontal_pole","X12304_Frontal_pole","X12304",7,"Young_adult",2,"Frontal_pole","7.4","batch2"
"X12304_Skin_of_back","X12304_Skin_of_back","X12304",7,"Young_adult",2,"Skin_of_back","7.1","batch2"
"X12304_Lung","X12304_Lung","X12304",7,"Young_adult",2,"Lung","8.4","batch2"
"X12304_Abdominal_aorta","X12304_Abdominal_aorta","X12304",7,"Young_adult",2,"Abdominal_aorta","7.2","batch2"
"X12304_Liver","X12304_Liver","X12304",7,"Young_adult",2,"Liver","7.9","batch2"
"X12304_Arteria_cruralis","X12304_Arteria_cruralis","X12304",7,"Young_adult",2,"Arteria_cruralis","7.7","batch2"
"X12304_Femoral_vein","X12304_Femoral_vein","X12304",7,"Young_adult",2,"Femoral_vein","8.3","batch2"
"X12304_Ileocecum","X12304_Ileocecum","X12304",7,"Young_adult",2,"Ileocecum","6.9","batch2"
"X12304_Thyroid_gland","X12304_Thyroid_gland","X12304",7,"Young_adult",2,"Thyroid_gland","7.4","batch2"
"X12304_Arteria_carotis","X12304_Arteria_carotis","X12304",7,"Young_adult",2,"Arteria_carotis","8.2","batch2"
"X12304_Muscle","X12304_Muscle","X12304",7,"Young_adult",2,"Muscle","7.2","batch2"
"X12304_Ovary","X12304_Ovary","X12304",7,"Young_adult",2,"Ovary","8.3","batch2"
"X12304_Spleen","X12304_Spleen","X12304",7,"Young_adult",2,"Spleen","8.7","batch2"
"X12304_Kidney","X12304_Kidney","X12304",7,"Young_adult",2,"Kidney","6.4","batch2"
"X12304_Adrenal_gland","X12304_Adrenal_gland","X12304",7,"Young_adult",2,"Adrenal_gland","7.2","batch2"
"X12304_Duodenum","X12304_Duodenum","X12304",7,"Young_adult",2,"Duodenum","6.4","batch2"
"X12304_Fallopian_tube","X12304_Fallopian_tube","X12304",7,"Young_adult",2,"Fallopian_tube","7.3","batch2"
"X12304_Stomach","X12304_Stomach","X12304",7,"Young_adult",2,"Stomach","6.2","batch2"
"X12304_Inferior_vena_cava","X12304_Inferior_vena_cava","X12304",7,"Young_adult",2,"Inferior_vena_cava","7.2","batch2"
"X12304_Heart","X12304_Heart","X12304",7,"Young_adult",2,"Heart","8.1","batch2"
"X12304_Thymus","X12304_Thymus","X12304",7,"Young_adult",2,"Thymus","7.7","batch2"
"X12304_Facial_skin","X12304_Facial_skin","X12304",7,"Young_adult",2,"Facial_skin","6.9","batch2"
"X12304_Pancreas","X12304_Pancreas","X12304",7,"Young_adult",2,"Pancreas","7.2","batch2"
"X12304_Adipose","X12304_Adipose","X12304",7,"Young_adult",2,"Adipose","7.4","batch2"
"X12304_Aortic_arch","X12304_Aortic_arch","X12304",7,"Young_adult",2,"Aortic_arch","8.2","batch2"
"X12304_Uterus","X12304_Uterus","X12304",7,"Young_adult",2,"Uterus","7.1","batch2"
"X12372_Supramarginal_gyrus","X12372_Supramarginal_gyrus","X12372",7,"Young_adult",2,"Supramarginal_gyrus","6.8","batch2"
"X12372_Superior_temporal_gyrus","X12372_Superior_temporal_gyrus","X12372",7,"Young_adult",2,"Superior_temporal_gyrus","7.3","batch2"
"X12372_Hippocampus","X12372_Hippocampus","X12372",7,"Young_adult",2,"Hippocampus","6.8","batch2"
"X12372_Hypothalamus","X12372_Hypothalamus","X12372",7,"Young_adult",2,"Hypothalamus","6.9","batch2"
"X12372_Pituitary","X12372_Pituitary","X12372",7,"Young_adult",2,"Pituitary","8.2","batch2"
"X12372_Frontal_pole","X12372_Frontal_pole","X12372",7,"Young_adult",2,"Frontal_pole","6.1","batch2"
"X12372_Skin_of_back","X12372_Skin_of_back","X12372",7,"Young_adult",2,"Skin_of_back","7.5","batch2"
"X12372_Lung","X12372_Lung","X12372",7,"Young_adult",2,"Lung","6","batch2"
"X12372_Abdominal_aorta","X12372_Abdominal_aorta","X12372",7,"Young_adult",2,"Abdominal_aorta","7.4","batch2"
"X12372_Liver","X12372_Liver","X12372",7,"Young_adult",2,"Liver","7.1","batch2"
"X12372_Thyroid_gland","X12372_Thyroid_gland","X12372",7,"Young_adult",2,"Thyroid_gland","8.1","batch2"
"X12372_Arteria_carotis","X12372_Arteria_carotis","X12372",7,"Young_adult",2,"Arteria_carotis","7.9","batch2"
"X12372_Muscle","X12372_Muscle","X12372",7,"Young_adult",2,"Muscle","7.8","batch2"
"X12372_Spleen","X12372_Spleen","X12372",7,"Young_adult",2,"Spleen","6.8","batch2"
"X12372_Kidney","X12372_Kidney","X12372",7,"Young_adult",2,"Kidney","7.9","batch2"
"X12372_Duodenum","X12372_Duodenum","X12372",7,"Young_adult",2,"Duodenum","6.1","batch2"
"X12372_Stomach","X12372_Stomach","X12372",7,"Young_adult",2,"Stomach","6.9","batch2"
"X12372_Heart","X12372_Heart","X12372",7,"Young_adult",2,"Heart","6.5","batch2"
"X12372_Thymus","X12372_Thymus","X12372",7,"Young_adult",2,"Thymus","7.3","batch2"
"X12372_Facial_skin","X12372_Facial_skin","X12372",7,"Young_adult",2,"Facial_skin","7.3","batch2"
"X12372_Pancreas","X12372_Pancreas","X12372",7,"Young_adult",2,"Pancreas","6.5","batch2"
"X12372_Adipose","X12372_Adipose","X12372",7,"Young_adult",2,"Adipose","7.6","batch2"
"X12372_Aortic_arch","X12372_Aortic_arch","X12372",7,"Young_adult",2,"Aortic_arch","7.2","batch2"
"X12372_Uterus","X12372_Uterus","X12372",7,"Young_adult",2,"Uterus","6.2","batch2"
"X12390_Supramarginal_gyrus","X12390_Supramarginal_gyrus","X12390",7,"Young_adult",2,"Supramarginal_gyrus","6.5","batch2"
"X12390_Superior_temporal_gyrus","X12390_Superior_temporal_gyrus","X12390",7,"Young_adult",2,"Superior_temporal_gyrus","6.2","batch2"
"X12390_Hippocampus","X12390_Hippocampus","X12390",7,"Young_adult",2,"Hippocampus","6.8","batch2"
"X12390_Hypothalamus","X12390_Hypothalamus","X12390",7,"Young_adult",2,"Hypothalamus","7.3","batch2"
"X12390_Pituitary","X12390_Pituitary","X12390",7,"Young_adult",2,"Pituitary","7.9","batch2"
"X12390_Frontal_pole","X12390_Frontal_pole","X12390",7,"Young_adult",2,"Frontal_pole","7.6","batch2"
"X12390_Skin_of_back","X12390_Skin_of_back","X12390",7,"Young_adult",2,"Skin_of_back","6.8","batch2"
"X12390_Lung","X12390_Lung","X12390",7,"Young_adult",2,"Lung","7.9","batch2"
"X12390_Abdominal_aorta","X12390_Abdominal_aorta","X12390",7,"Young_adult",2,"Abdominal_aorta","8.1","batch2"
"X12390_Liver","X12390_Liver","X12390",7,"Young_adult",2,"Liver","8.4","batch2"
"X12390_Arteria_cruralis","X12390_Arteria_cruralis","X12390",7,"Young_adult",2,"Arteria_cruralis","6.9","batch2"
"X12390_Femoral_vein","X12390_Femoral_vein","X12390",7,"Young_adult",2,"Femoral_vein","7.8","batch2"
"X12390_Ileocecum","X12390_Ileocecum","X12390",7,"Young_adult",2,"Ileocecum","6.6","batch2"
"X12390_Thyroid_gland","X12390_Thyroid_gland","X12390",7,"Young_adult",2,"Thyroid_gland","7.5","batch2"
"X12390_Arteria_carotis","X12390_Arteria_carotis","X12390",7,"Young_adult",2,"Arteria_carotis","8.4","batch2"
"X12390_Muscle","X12390_Muscle","X12390",7,"Young_adult",2,"Muscle","7.9","batch2"
"X12390_Ovary","X12390_Ovary","X12390",7,"Young_adult",2,"Ovary","8.1","batch2"
"X12390_Cecum","X12390_Cecum","X12390",7,"Young_adult",2,"Cecum","6.6","batch2"
"X12390_Spleen","X12390_Spleen","X12390",7,"Young_adult",2,"Spleen","8.2","batch2"
"X12390_Kidney","X12390_Kidney","X12390",7,"Young_adult",2,"Kidney","8","batch2"
"X12390_Adrenal_gland","X12390_Adrenal_gland","X12390",7,"Young_adult",2,"Adrenal_gland","8.4","batch2"
"X12390_Fallopian_tube","X12390_Fallopian_tube","X12390",7,"Young_adult",2,"Fallopian_tube","7.7","batch2"
"X12390_Stomach","X12390_Stomach","X12390",7,"Young_adult",2,"Stomach","8","batch2"
"X12390_Inferior_vena_cava","X12390_Inferior_vena_cava","X12390",7,"Young_adult",2,"Inferior_vena_cava","7.9","batch2"
"X12390_Heart","X12390_Heart","X12390",7,"Young_adult",2,"Heart","7.6","batch2"
"X12390_Thymus","X12390_Thymus","X12390",7,"Young_adult",2,"Thymus","8.8","batch2"
"X12390_Facial_skin","X12390_Facial_skin","X12390",7,"Young_adult",2,"Facial_skin","7.3","batch2"
"X12390_Pancreas","X12390_Pancreas","X12390",7,"Young_adult",2,"Pancreas","8","batch2"
"X12390_Adipose","X12390_Adipose","X12390",7,"Young_adult",2,"Adipose","8","batch2"
"X12390_Aortic_arch","X12390_Aortic_arch","X12390",7,"Young_adult",2,"Aortic_arch","7.6","batch2"
"X12390_Uterus","X12390_Uterus","X12390",7,"Young_adult",2,"Uterus","7.4","batch2"
"X16002_Supramarginal_gyrus","X16002_Supramarginal_gyrus","X16002",3,"Juvenile",1,"Supramarginal_gyrus","7","batch2"
"X16002_Superior_temporal_gyrus","X16002_Superior_temporal_gyrus","X16002",3,"Juvenile",1,"Superior_temporal_gyrus","7","batch2"
"X16002_Hippocampus","X16002_Hippocampus","X16002",3,"Juvenile",1,"Hippocampus","7.3","batch2"
"X16002_Hypothalamus","X16002_Hypothalamus","X16002",3,"Juvenile",1,"Hypothalamus","7.4","batch2"
"X16002_Pituitary","X16002_Pituitary","X16002",3,"Juvenile",1,"Pituitary","7.8","batch2"
"X16002_Frontal_pole","X16002_Frontal_pole","X16002",3,"Juvenile",1,"Frontal_pole","7","batch2"
"X16002_Lung","X16002_Lung","X16002",3,"Juvenile",1,"Lung","7.8","batch2"
"X16002_Abdominal_aorta","X16002_Abdominal_aorta","X16002",3,"Juvenile",1,"Abdominal_aorta","7.7","batch2"
"X16002_Liver","X16002_Liver","X16002",3,"Juvenile",1,"Liver","8","batch2"
"X16002_Arteria_cruralis","X16002_Arteria_cruralis","X16002",3,"Juvenile",1,"Arteria_cruralis","7.1","batch2"
"X16002_Femoral_vein","X16002_Femoral_vein","X16002",3,"Juvenile",1,"Femoral_vein","7.5","batch2"
"X16002_Ileocecum","X16002_Ileocecum","X16002",3,"Juvenile",1,"Ileocecum","6.2","batch2"
"X16002_Arteria_carotis","X16002_Arteria_carotis","X16002",3,"Juvenile",1,"Arteria_carotis","8.2","batch2"
"X16002_Muscle","X16002_Muscle","X16002",3,"Juvenile",1,"Muscle","8.2","batch2"
"X16002_Ovary","X16002_Ovary","X16002",3,"Juvenile",1,"Ovary","7","batch2"
"X16002_Cecum","X16002_Cecum","X16002",3,"Juvenile",1,"Cecum","7.6","batch2"
"X16002_Spleen","X16002_Spleen","X16002",3,"Juvenile",1,"Spleen","8.5","batch2"
"X16002_Kidney","X16002_Kidney","X16002",3,"Juvenile",1,"Kidney","7.7","batch2"
"X16002_Adrenal_gland","X16002_Adrenal_gland","X16002",3,"Juvenile",1,"Adrenal_gland","7.6","batch2"
"X16002_Duodenum","X16002_Duodenum","X16002",3,"Juvenile",1,"Duodenum","6.9","batch2"
"X16002_Fallopian_tube","X16002_Fallopian_tube","X16002",3,"Juvenile",1,"Fallopian_tube","7.2","batch2"
"X16002_Stomach","X16002_Stomach","X16002",3,"Juvenile",1,"Stomach","7.2","batch2"
"X16002_Heart","X16002_Heart","X16002",3,"Juvenile",1,"Heart","7.5","batch2"
"X16002_Thymus","X16002_Thymus","X16002",3,"Juvenile",1,"Thymus","7.2","batch2"
"X16002_Facial_skin","X16002_Facial_skin","X16002",3,"Juvenile",1,"Facial_skin","7.2","batch2"
"X16002_Pancreas","X16002_Pancreas","X16002",3,"Juvenile",1,"Pancreas","6.9","batch2"
"X16002_Aortic_arch","X16002_Aortic_arch","X16002",3,"Juvenile",1,"Aortic_arch","7.3","batch2"
"X16002_Uterus","X16002_Uterus","X16002",3,"Juvenile",1,"Uterus","7.1","batch2"
