SRR8524937,LIB10866800,Gastrocnemius_27Mo_fasted_367_3F8-1
SRR8524936,LIB10866801,Gastrocnemius_27Mo_fasted_368_3G8-1
SRR8524929,LIB10866802,Gastrocnemius_6Mo_fasted_294_3B1-1
SRR8524928,LIB10866803,Gastrocnemius_6Mo_fasted_295_3C1-1
SRR8524949,LIB10866814,Gastrocnemius_9Mo_fasted_282_3H2-1
SRR8524948,LIB10866815,Gastrocnemius_9Mo_fasted_283_3A3-1
SRR8705734,LIB11094436.1,Kidney_12Mo_fasted_288_2F3-1
SRR8705735,LIB11094437.1,Kidney_12Mo_fasted_289_2G3-1
SRR8705736,LIB11094438.2,Kidney_12Mo_fasted_291_2H3-1
SRR8705733,LIB11094438.1,Kidney_12Mo_fasted_291_2H3-1
SRR8705741,LIB11094440.1,Kidney_18Mo_fasted_227_2B4-1
SRR8705742,LIB11094441.1,Kidney_18Mo_fasted_228_2C4-1
SRR8705739,LIB11094442.1,Kidney_18Mo_fasted_229_2D4-1
SRR8705740,LIB11094443.1,Kidney_18Mo_fasted_230_2E4-1
SRR8705745,LIB11094443.2,Kidney_18Mo_fasted_230_2E4-1
SRR8705746,LIB11094444.1,Kidney_18Mo_fasted_231_2F4-1
SRR8705743,LIB11094444.2,Kidney_18Mo_fasted_231_2F4-1
SRR8705744,LIB11094445.1,Kidney_18Mo_fasted_232_2G4-1
SRR8705749,LIB11094445.2,Kidney_18Mo_fasted_232_2G4-1
SRR8705750,LIB11094446.1,Kidney_18Mo_fasted_233_2H4-1
SRR8705751,LIB11094463.1,Kidney_24Mo_fasted_156_2C7-1
SRR8705752,LIB11094464.1,Kidney_27Mo_fasted_359_2D7-1
SRR8705737,LIB11094465.1,Kidney_27Mo_fasted_360_2E7-1
SRR8705738,LIB11094466.1,Kidney_27Mo_fasted_361_2F7-1
SRR8705753,LIB11094466.2,Kidney_27Mo_fasted_361_2F7-1
SRR8705747,LIB11094467.1,Kidney_27Mo_fasted_363_2H7-1
SRR8705754,LIB11094474.1,Kidney_6Mo_fasted_295_2C1-1
SRR8705748,LIB11094478.1,Kidney_6Mo_fasted_299_2G1-1
SRR8524957,LIB10866768,Gastrocnemius_12Mo_fasted_288_3F3-1
SRR8524956,LIB10866769,Gastrocnemius_12Mo_fasted_289_3G3-1
SRR8524959,LIB10866770,Gastrocnemius_12Mo_fasted_290_3H3-1
SRR8524958,LIB10866771,Gastrocnemius_12Mo_fasted_291_3A4-1
SRR8524964,LIB10866784,Gastrocnemius_21Mo_fasted_157_3B6-1
SRR8524965,LIB10866785,Gastrocnemius_21Mo_fasted_160_3C6-1
SRR8524962,LIB10866786,Gastrocnemius_24Mo_fasted_119_3D6-1
SRR8524963,LIB10866787,Gastrocnemius_24Mo_fasted_130_3E6-1
SRR8524968,LIB10866788,Gastrocnemius_24Mo_fasted_133_3F6-1
SRR8524969,LIB10866789,Gastrocnemius_24Mo_fasted_136_3G6-1
SRR8524966,LIB10866790,Gastrocnemius_24Mo_fasted_137_3H6-1
SRR8524967,LIB10866791,Gastrocnemius_24Mo_fasted_146_3A7-1
SRR8524960,LIB10866792,Gastrocnemius_24Mo_fasted_147_3B7-1
SRR8524961,LIB10866793,Gastrocnemius_24Mo_fasted_156_3C7-1
SRR8524972,LIB10866804,Gastrocnemius_6Mo_fasted_296_3D1-1
SRR8524973,LIB10866805,Gastrocnemius_6Mo_fasted_297_3E1-1
SRR8524974,LIB10866806,Gastrocnemius_6Mo_fasted_298_3F1-1
SRR8524975,LIB10866807,Gastrocnemius_6Mo_fasted_299_3G1-1
SRR8524976,LIB10866808,Gastrocnemius_6Mo_fasted_301_3A2-1
SRR8524977,LIB10866809,Gastrocnemius_9Mo_fasted_277_3C2-1
SRR8524978,LIB10866810,Gastrocnemius_9Mo_fasted_278_3D2-1
SRR8524979,LIB10866811,Gastrocnemius_9Mo_fasted_279_3E2-1
SRR8524970,LIB10866812,Gastrocnemius_9Mo_fasted_280_3F2-1
SRR8524971,LIB10866813,Gastrocnemius_9Mo_fasted_281_3G2-1
SRR8467798,LIB10785107,Liver_X12Mo_fasted_290
SRR8467797,LIB10785108,Liver_X12Mo_fasted_291
SRR8467796,LIB10785109,Liver_X18Mo_fasted_227
SRR8467795,LIB10785110,Liver_X18Mo_fasted_228
SRR8467784,LIB10785111,Liver_X18Mo_fasted_229
SRR8467783,LIB10785112,Liver_X18Mo_fasted_230
SRR8467786,LIB10785113,Liver_X18Mo_fasted_231
SRR8467785,LIB10785114,Liver_X18Mo_fasted_232
SRR8467780,LIB10785115,Liver_X18Mo_fasted_233
SRR8467779,LIB10785116,Liver_X18Mo_fasted_234
SRR8467782,LIB10785117,Liver_X21Mo_fasted_120
SRR8467781,LIB10785118,Liver_X21Mo_fasted_122
SRR8467792,LIB10785119,Liver_X21Mo_fasted_140
SRR8467791,LIB10785120,Liver_X21Mo_fasted_141
SRR8467794,LIB10785131,Liver_X24Mo_fasted_156
SRR8467793,LIB10785132,Liver_X27Mo_fasted_359
SRR8467790,LIB10785135,Liver_X27Mo_fasted_364
SRR8467789,LIB10785136,Liver_X27Mo_fasted_365
SRR8467788,LIB10785137,Liver_X27Mo_fasted_366
SRR8467787,LIB10785138,Liver_X27Mo_fasted_367
SRR8467778,LIB10785139,Liver_X27Mo_fasted_368
SRR8467773,LIB10785140,Liver_X6Mo_fasted_294
SRR8467774,LIB10785151,Liver_X9Mo_fasted_279
SRR8467776,LIB10785153,Liver_X9Mo_fasted_281
SRR8467775,LIB10785154,Liver_X9Mo_fasted_282
SRR8467777,LIB10785155,Liver_X9Mo_fasted_283
SRR9616365,LIB12165870.1,Hippocampus_18Mo_fasted_5_A425-231
SRR9616359,LIB12165882.1,Hippocampus_24Mo_fasted_1_A437-119
SRR9616360,LIB12165883.1,Hippocampus_24Mo_fasted_2_A438-130
SRR9616357,LIB12165884.1,Hippocampus_24Mo_fasted_3_A439-133
SRR9616358,LIB12165885.1,Hippocampus_24Mo_fasted_4_A440-136
SRR9616363,LIB12165886.1,Hippocampus_24Mo_fasted_5_A441-137
SRR9616364,LIB12165887.1,Hippocampus_24Mo_fasted_6_A442-146
SRR9616361,LIB12165888.1,Hippocampus_24Mo_fasted_7_A443-147
SRR9616362,LIB12165889.1,Hippocampus_27Mo_fasted_1_A445-359
SRR9616355,LIB12165890.1,Hippocampus_27Mo_fasted_2_A446-360
SRR9616356,LIB12165891.1,Hippocampus_27Mo_fasted_3_A447-361
SRR9616345,LIB12165894.1,Hippocampus_27Mo_fasted_6_A450-364
SRR9616354,LIB12165842.1,Hippocampus_6Mo_fasted_1_A397-294
SRR9616353,LIB12165843.1,Hippocampus_6Mo_fasted_2_A398-295
SRR9616352,LIB12165844.1,Hippocampus_6Mo_fasted_3_A399-296
SRR9616351,LIB12165845.1,Hippocampus_6Mo_fasted_4_A400-297
SRR9616350,LIB12165846.1,Hippocampus_6Mo_fasted_5_A401-298
SRR9616349,LIB12165847.1,Hippocampus_6Mo_fasted_6_A402-299
SRR9616348,LIB12165848.1,Hippocampus_6Mo_fasted_7_A403-300
SRR9616347,LIB12165849.1,Hippocampus_6Mo_fasted_8_A404-301
SRR9616346,LIB12165850.1,Hippocampus_9Mo_fasted_1_A405-276
SRR8467804,LIB10785101,Liver_X12Mo_fasted_284
SRR8467803,LIB10785102,Liver_X12Mo_fasted_285
SRR8467802,LIB10785103,Liver_X12Mo_fasted_286
SRR8467801,LIB10785104,Liver_X12Mo_fasted_287
SRR8467800,LIB10785105,Liver_X12Mo_fasted_288
SRR8467799,LIB10785106,Liver_X12Mo_fasted_289
SRR8467819,LIB10785121,Liver_X21Mo_fasted_143
SRR8467820,LIB10785122,Liver_X21Mo_fasted_148
SRR8467821,LIB10785123,Liver_X21Mo_fasted_157
SRR8467822,LIB10785124,Liver_X21Mo_fasted_160
SRR8467823,LIB10785125,Liver_X24Mo_fasted_119
SRR8467824,LIB10785126,Liver_X24Mo_fasted_130
SRR8467825,LIB10785127,Liver_X24Mo_fasted_133
SRR8467826,LIB10785128,Liver_X24Mo_fasted_136
SRR8467817,LIB10785129,Liver_X24Mo_fasted_137
SRR8467818,LIB10785130,Liver_X24Mo_fasted_147
SRR8467805,LIB10785133,Liver_X27Mo_fasted_360
SRR8467827,LIB10785134,Liver_X27Mo_fasted_363
SRR8467811,LIB10785141,Liver_X6Mo_fasted_295
SRR8467812,LIB10785142,Liver_X6Mo_fasted_296
SRR8467809,LIB10785143,Liver_X6Mo_fasted_297
SRR8467810,LIB10785144,Liver_X6Mo_fasted_298
SRR8467815,LIB10785145,Liver_X6Mo_fasted_299
SRR8467816,LIB10785146,Liver_X6Mo_fasted_300
SRR8467813,LIB10785147,Liver_X6Mo_fasted_301
SRR8467814,LIB10785148,Liver_X9Mo_fasted_276
SRR8467807,LIB10785149,Liver_X9Mo_fasted_277
SRR8467808,LIB10785150,Liver_X9Mo_fasted_278
SRR8467806,LIB10785152,Liver_X9Mo_fasted_280
SRR9616387,LIB12165858.1,Hippocampus_12Mo_fasted_1_A413-284
SRR9616386,LIB12165859.1,Hippocampus_12Mo_fasted_2_A414-285
SRR9616397,LIB12165860.1,Hippocampus_12Mo_fasted_3_A415-286
SRR9616396,LIB12165861.1,Hippocampus_12Mo_fasted_4_A416-287
SRR9616367,LIB12165862.1,Hippocampus_12Mo_fasted_5_A417-288
SRR9616368,LIB12165863.1,Hippocampus_12Mo_fasted_6_A418-289
SRR9616369,LIB12165864.1,Hippocampus_12Mo_fasted_7_A419-290
SRR9616370,LIB12165865.1,Hippocampus_12Mo_fasted_8_A420-291
SRR9616371,LIB12165866.1,Hippocampus_18Mo_fasted_1_A421-227
SRR9616372,LIB12165867.1,Hippocampus_18Mo_fasted_2_A422-228
SRR9616373,LIB12165868.1,Hippocampus_18Mo_fasted_3_A423-229
SRR9616374,LIB12165869.1,Hippocampus_18Mo_fasted_4_A424-230
SRR9616366,LIB12165871.1,Hippocampus_18Mo_fasted_6_A426-232
SRR9616399,LIB12165872.1,Hippocampus_18Mo_fasted_7_A427-233
