age,n_cells,pi_tissue,pi_celltype,n_tissues_for_ct
3,44518,0.03045895513469547,0.020601058938069787,19
18,34027,0.024339390316796928,0.02271326400069957,20
24,31551,0.02124005677503878,0.017538425050088728,18
