P21	Tissue	class	IOD	Area	Area.Density
Aortic_arch_J1	Aortic_arch	Juvenile	4.756847	1392598	3.4e-06
Aortic_arch_J2	Aortic_arch	Juvenile	5.025658	1223630	4.1e-06
Aortic_arch_J3	Aortic_arch	Juvenile	5.256314	1474560	3.6e-06
Aortic_arch_J4	Aortic_arch	Juvenile	6.35121	1474560	4.3e-06
Aortic_arch_J5	Aortic_arch	Juvenile	3.547496	1474560	2.4e-06
Aortic_arch_Y1	Aortic_arch	Young	15.78258	1474560	1.07e-05
Aortic_arch_Y2	Aortic_arch	Young	39.97367	1474560	2.71e-05
Aortic_arch_Y3	Aortic_arch	Young	46.15804	1474560	3.13e-05
Aortic_arch_Y4	Aortic_arch	Young	17.08663	1474560	1.16e-05
Aortic_arch_Y5	Aortic_arch	Young	25.31517	1262878	2e-05
Aortic_arch_E1	Aortic_arch	Elderly	3472.524	1406719	0.0024685
Aortic_arch_E2	Aortic_arch	Elderly	1817.514	1474560	0.0012326
Aortic_arch_E3	Aortic_arch	Elderly	1653.738	1281828	0.0012901
Aortic_arch_E4	Aortic_arch	Elderly	1944.479	1474560	0.0013187
Aortic_arch_E5	Aortic_arch	Elderly	2587.248	1102417	0.0023469
Spleen_J1	Spleen	Juvenile	76.05172	1474560	5.16e-05
Spleen_J2	Spleen	Juvenile	68.82362	1474560	4.67e-05
Spleen_J3	Spleen	Juvenile	18.45569	1474560	1.25e-05
Spleen_J4	Spleen	Juvenile	111.9847	1474560	7.59e-05
Spleen_J5	Spleen	Juvenile	162.8771	1474560	0.0001105
Spleen_Y1	Spleen	Young	177.8069	1474560	0.0001206
Spleen_Y2	Spleen	Young	151.264	1474560	0.0001026
Spleen_Y3	Spleen	Young	256.7464	1474560	0.0001741
Spleen_Y4	Spleen	Young	172.112	1474560	0.0001167
Spleen_Y5	Spleen	Young	295.5104	1474560	0.0002004
Spleen_E1	Spleen	Elderly	16770.62	1474560	0.0113733
Spleen_E2	Spleen	Elderly	19140.23	1474560	0.0129803
Spleen_E3	Spleen	Elderly	27683.01	1474560	0.0187737
Spleen_E4	Spleen	Elderly	25868.08	1474560	0.0175429
Spleen_E5	Spleen	Elderly	29030.2	1474560	0.0196874
Kidney_J1	Kidney	Juvenile	45.56657	1228800	3.71e-05
Kidney_J2	Kidney	Juvenile	28.16444	1474560	1.91e-05
Kidney_J3	Kidney	Juvenile	67.98999	1474560	4.61e-05
Kidney_J4	Kidney	Juvenile	28.57476	1474560	1.94e-05
Kidney_J5	Kidney	Juvenile	30.9993	1474560	2.1e-05
Kidney_Y1	Kidney	Young	782.8248	1474560	0.0005309
Kidney_Y2	Kidney	Young	240.2488	1474560	0.0001629
Kidney_Y3	Kidney	Young	159.5629	1474560	0.0001082
Kidney_Y4	Kidney	Young	119.5848	1474560	8.11e-05
Kidney_Y5	Kidney	Young	64.84539	1474560	4.4e-05
Kidney_E1	Kidney	Elderly	48800.34	1228800	0.0397138
Kidney_E2	Kidney	Elderly	47726.99	1228800	0.0388403
Kidney_E3	Kidney	Elderly	41193	1228800	0.0335229
Kidney_E4	Kidney	Elderly	50124.92	1228800	0.0407918
Kidney_E5	Kidney	Elderly	5154.699	1228800	0.0041949
Ovary_J1	Ovary	Juvenile	101.2563	1474560	6.87e-05
Ovary_J2	Ovary	Juvenile	21.19419	1308161	1.62e-05
Ovary_J3	Ovary	Juvenile	56.32045	1370390	4.11e-05
Ovary_J4	Ovary	Juvenile	18.93174	1205018	1.57e-05
Ovary_J5	Ovary	Juvenile	36.83255	1359977	2.71e-05
Ovary_Y1	Ovary	Young	563.9609	1312468	0.0004297
Ovary_Y2	Ovary	Young	173.0834	1474560	0.0001174
Ovary_Y3	Ovary	Young	233.0377	1295918	0.0001798
Ovary_Y4	Ovary	Young	274.6169	1474560	0.0001862
Ovary_Y5	Ovary	Young	104.5476	1353363	7.73e-05
Ovary_E1	Ovary	Elderly	25023.92	1342041	0.0186462
