P21	Tissue	class	IOD	Area	Area.Density
Ovary_E2	Ovary	Elderly	33546.74	1237819	0.0271015
Ovary_E3	Ovary	Elderly	22666.56	1331063	0.0170289
Ovary_E4	Ovary	Elderly	29611.24	1293425	0.0228937
Ovary_E5	Ovary	Elderly	23146.52	1244702	0.018596
Thymus_J1	Thymus	Juvenile	8.317386	1474560	5.6e-06
Thymus_J2	Thymus	Juvenile	7.213502	1474560	4.9e-06
Thymus_J3	Thymus	Juvenile	11.09339	1421091	7.8e-06
Thymus_J4	Thymus	Juvenile	3.615361	853583	4.2e-06
Thymus_J5	Thymus	Juvenile	12.11463	1474560	8.2e-06
Thymus_Y1	Thymus	Young	81.77101	1474560	5.55e-05
Thymus_Y2	Thymus	Young	105.1316	1474560	7.13e-05
Thymus_Y3	Thymus	Young	66.06071	727598	9.08e-05
Thymus_Y4	Thymus	Young	30.41298	1147343	2.65e-05
Thymus_Y5	Thymus	Young	95.74576	1429368	6.7e-05
Thymus_E1	Thymus	Elderly	7258.012	950024	0.0076398
Thymus_E2	Thymus	Elderly	5703.079	1292983	0.0044108
Thymus_E3	Thymus	Elderly	3600.997	1310715	0.0027474
Thymus_E4	Thymus	Elderly	1530.719	1419346	0.0010785
Thymus_E5	Thymus	Elderly	1824.859	1165495	0.0015657
Uterus_J1	Uterus	Juvenile	73.07216	1474560	4.96e-05
Uterus_J2	Uterus	Juvenile	31.01958	1474560	2.1e-05
Uterus_J3	Uterus	Juvenile	47.77772	1474560	3.24e-05
Uterus_J4	Uterus	Juvenile	68.33515	1474560	4.63e-05
Uterus_J5	Uterus	Juvenile	72.95744	1474560	4.95e-05
Uterus_Y1	Uterus	Young	434.9582	1474560	0.000295
Uterus_Y2	Uterus	Young	190.9781	1474560	0.0001295
Uterus_Y3	Uterus	Young	195.8682	1474560	0.0001328
Uterus_Y4	Uterus	Young	380.1924	1474560	0.0002578
Uterus_Y5	Uterus	Young	130.335	1474560	8.84e-05
Uterus_E1	Uterus	Elderly	18370.8	1474560	0.0124585
Uterus_E2	Uterus	Elderly	16076.9	1474560	0.0109028
Uterus_E3	Uterus	Elderly	58130.46	1474560	0.0394222
Uterus_E4	Uterus	Elderly	81099.64	1474560	0.0549992
Uterus_E5	Uterus	Elderly	39584.58	1474560	0.026845
Thyroid_gland_J1	Thyroid_gland	Juvenile	34.14436	1039037	3.29e-05
Thyroid_gland_J2	Thyroid_gland	Juvenile	48.57751	1474560	3.29e-05
Thyroid_gland_J3	Thyroid_gland	Juvenile	46.91386	1474560	3.18e-05
Thyroid_gland_J4	Thyroid_gland	Juvenile	24.10901	1474560	1.63e-05
Thyroid_gland_J5	Thyroid_gland	Juvenile	10.25368	1474560	7e-06
Thyroid_gland_Y1	Thyroid_gland	Young	115.7108	1474560	7.85e-05
Thyroid_gland_Y2	Thyroid_gland	Young	372.2194	1401290	0.0002656
Thyroid_gland_Y3	Thyroid_gland	Young	145.8764	1474560	9.89e-05
Thyroid_gland_Y4	Thyroid_gland	Young	85.29584	1057701	8.06e-05
Thyroid_gland_Y5	Thyroid_gland	Young	208.5039	1192551	0.0001748
Thyroid_gland_E1	Thyroid_gland	Elderly	5633.499	1474560	0.0038205
Thyroid_gland_E2	Thyroid_gland	Elderly	5680.779	1385304	0.0041007
Thyroid_gland_E3	Thyroid_gland	Elderly	7145.546	1228411	0.0058169
Thyroid_gland_E4	Thyroid_gland	Elderly	8947.253	1095419	0.0081679
Thyroid_gland_E5	Thyroid_gland	Elderly	1715.855	1331334	0.0012888
Stomach_J1	Stomach	Juvenile	3.779594	1474560	2.6e-06
Stomach_J2	Stomach	Juvenile	3.32882	1474560	2.3e-06
Stomach_J3	Stomach	Juvenile	6.200225	1474560	4.2e-06
Stomach_J4	Stomach	Juvenile	5.686076	1474560	3.9e-06
Stomach_J5	Stomach	Juvenile	2.007944	1444088	1.4e-06
Stomach_Y1	Stomach	Young	39.2809	1474560	2.66e-05
Stomach_Y2	Stomach	Young	40.1417	1474560	2.72e-05
Stomach_Y3	Stomach	Young	42.47744	1383898	3.07e-05
Stomach_Y4	Stomach	Young	37.98403	1213665	3.13e-05
Stomach_Y5	Stomach	Young	46.17074	1474560	3.13e-05
Stomach_E1	Stomach	Elderly	2880.184	1198775	0.0024026
Stomach_E2	Stomach	Elderly	2841.798	1074233	0.0026454
Stomach_E3	Stomach	Elderly	3702.444	1322047	0.0028005
Stomach_E4	Stomach	Elderly	4275.087	1419721	0.0030112
Stomach_E5	Stomach	Elderly	4372.58	1331832	0.0032831
Pancreas_J1	Pancreas	Juvenile	45.83731	1474560	3.10854e-05
Pancreas_J2	Pancreas	Juvenile	91.82033	1474560	6.22696e-05
Pancreas_J3	Pancreas	Juvenile	76.63216	1474560	5.19695e-05
Pancreas_J4	Pancreas	Juvenile	63.75071	1474560	4.32337e-05
Pancreas_J5	Pancreas	Juvenile	16.83405	1474560	1.14163e-05
Pancreas_J6	Pancreas	Juvenile	31.38677	1474560	2.12855e-05
Pancreas_Y1	Pancreas	Young	67.66069	1474560	4.58853e-05
Pancreas_Y2	Pancreas	Young	111.4041	1474560	7.55507e-05
Pancreas_Y3	Pancreas	Young	121.1922	1474560	8.21887e-05
Pancreas_Y4	Pancreas	Young	114.1967	1474560	7.74446e-05
Pancreas_E1	Pancreas	Elderly	115.6377	1474560	7.84218e-05
Pancreas_E2	Pancreas	Elderly	57.69407	1474560	3.91263e-05
Pancreas_E3	Pancreas	Elderly	37.68683	1474560	2.5558e-05
Pancreas_E4	Pancreas	Elderly	93.88921	1474560	6.36727e-05
Pancreas_E5	Pancreas	Elderly	72.37032	1474560	4.90793e-05
Skin_of_back_J1	Skin_of_back	Juvenile	1958.304	1474560	0.00132806
Skin_of_back_J2	Skin_of_back	Juvenile	2498.872	1474560	0.001694656
Skin_of_back_J3	Skin_of_back	Juvenile	2313.679	1474560	0.001569064
Skin_of_back_J4	Skin_of_back	Juvenile	2114.646	1474560	0.001434086
Skin_of_back_J5	Skin_of_back	Juvenile	1893.25	1474560	0.001283942
Skin_of_back_Y1	Skin_of_back	Young	2282.448	1474560	0.001547884
Skin_of_back_Y2	Skin_of_back	Young	2199.487	1474560	0.001491623
Skin_of_back_Y3	Skin_of_back	Young	3585.378	1474560	0.00243149
Skin_of_back_Y4	Skin_of_back	Young	2338.671	1474560	0.001586013
Skin_of_back_Y5	Skin_of_back	Young	2004.794	1474560	0.001359588
Skin_of_back_E1	Skin_of_back	Elderly	2839.126	1474560	0.001925406
Skin_of_back_E2	Skin_of_back	Elderly	2263.619	1474560	0.001535115
Skin_of_back_E3	Skin_of_back	Elderly	2794.312	1474560	0.001895014
Skin_of_back_E4	Skin_of_back	Elderly	4068.019	1474560	0.002758802
Skin_of_back_E5	Skin_of_back	Elderly	2762.563	1474560	0.001873483
Lung_J1	Lung	Juvenile	51.36773	1474560	3.484e-05
Lung_J2	Lung	Juvenile	25.57271	1474560	1.734e-05
Lung_J3	Lung	Juvenile	86.24723	1474560	5.849e-05
Lung_J4	Lung	Juvenile	76.33561	1474560	5.177e-05
Lung_J5	Lung	Juvenile	75.12278	1474560	5.095e-05
Lung_J6	Lung	Juvenile	21.72698	1474560	1.473e-05
Lung_Y1	Lung	Young	62.16009	1474560	4.216e-05
Lung_Y2	Lung	Young	65.4536	1474560	4.439e-05
Lung_Y3	Lung	Young	49.38401	1474560	3.349e-05
Lung_Y4	Lung	Young	66.22335	1474560	4.491e-05
Lung_Y5	Lung	Young	40.73762	1474560	2.763e-05
Lung_E1	Lung	Elderly	5640.997	1474560	0.0038255
Lung_E2	Lung	Elderly	6798.847	1474560	0.0046108
Lung_E3	Lung	Elderly	7843.269	1474560	0.0053191
Lung_E4	Lung	Elderly	8827.508	1474560	0.0059865
Lung_E5	Lung	Elderly	10472.01	1474560	0.0071018
Liver_J1	Liver	Juvenile	194.1511	1474560	0.0001316671
Liver_J2	Liver	Juvenile	240.2607	1474560	0.0001629372
Liver_J3	Liver	Juvenile	314.7094	1474560	0.000213426
Liver_J4	Liver	Juvenile	152.5944	1474560	0.0001034847
Liver_J5	Liver	Juvenile	167.4033	1474560	0.0001135276
Liver_Y1	Liver	Young	175.2985	1474560	0.0001188819
Liver_Y2	Liver	Young	235.7412	1474560	0.0001598722
Liver_Y3	Liver	Young	240.8376	1474560	0.0001633285
Liver_Y4	Liver	Young	230.0369	1474560	0.0001560038
Liver_Y5	Liver	Young	181.3076	1474560	0.0001229571
Liver_E1	Liver	Elderly	355.5505	1474560	0.0002411231
Liver_E2	Liver	Elderly	166.8181	1474560	0.0001131308
Liver_E3	Liver	Elderly	175.522	1474560	0.0001190335
Liver_E4	Liver	Elderly	151.949	1474560	0.000103047
Muscle_J1	Muscle	Juvenile	50.56136	1474560	3.42891e-05
Muscle_J2	Muscle	Juvenile	99.6275	1474560	6.75642e-05
Muscle_J3	Muscle	Juvenile	108.642	1474560	7.36776e-05
Muscle_J4	Muscle	Juvenile	96.3505	1474560	6.53419e-05
Muscle_J5	Muscle	Juvenile	77.93939	1474560	5.2856e-05
Muscle_Y1	Muscle	Young	128.6755	1474560	8.72637e-05
Muscle_Y2	Muscle	Young	59.87216	1474560	4.06034e-05
Muscle_Y3	Muscle	Young	138.0681	1474560	9.36334e-05
Muscle_Y4	Muscle	Young	52.05597	1474560	3.53027e-05
Muscle_E1	Muscle	Elderly	121.8888	1474560	8.26611e-05
Muscle_E2	Muscle	Elderly	109.2288	1474560	7.40755e-05
Muscle_E3	Muscle	Elderly	130.2034	1474560	8.82998e-05
Muscle_E4	Muscle	Elderly	69.57019	1474560	4.71803e-05
Muscle_E5	Muscle	Elderly	78.51437	1474560	5.3246e-05
