category,20-39,40-49,50-59,60-79,delta
chromatin,0.7316231217569155,0.6843238839286118,0.6429064399953383,0.6516099874242021,-0.0800131343327134
TF,0.7246671463542709,0.6730121058648788,0.6638629266977263,0.6799735797139714,-0.04469356664029944
target,0.7523839475896239,0.6717339093187539,0.6962453432872986,0.6890588895837845,-0.06332505800583943
housekeeping,0.7758116702753952,0.749594480122333,0.7429075032803526,0.7693990726564738,-0.006412597618921434
