tissue,full_tissue,median_delta_var,pct_var_increase,p,median_delta_cv,turnover,immune
Whole Blood,Whole Blood,0.07908881,0.7456008881487649,0.0,0.062450647,3,3
Skeletal,Muscle - Skeletal,0.027921766,0.7319456008881488,0.0,0.003984511,1,1
Thyroid,Thyroid,0.012833253,0.6329725228975853,0.0,0.0022147447,2,2
Sun Exposed (Lo,Skin - Sun Exposed (Lower leg),-0.001485467,0.48048848182070497,2.5704472333516113e-17,-0.0043222755,2,2
Subcutaneous,Adipose - Subcutaneous,-0.002127409,0.47471551484873714,0.005709393076209744,-0.005282022,1,2
Tibial,Artery - Tibial,-0.011866137,0.37885095753538717,1.4671193967716847e-222,-0.010257725,1,1
